confirmados,obitos,recuperados,ativos,data
1,0,0,1,2020-02-26 00:00:00
1,0,0,1,2020-02-27 00:00:00
1,0,0,1,2020-02-28 00:00:00
2,0,0,2,2020-02-29 00:00:00
2,0,0,2,2020-03-01 00:00:00
2,0,0,2,2020-03-02 00:00:00
2,0,0,2,2020-03-03 00:00:00
4,0,0,4,2020-03-04 00:00:00
4,0,0,4,2020-03-05 00:00:00
13,0,0,13,2020-03-06 00:00:00
13,0,0,13,2020-03-07 00:00:00
20,0,0,20,2020-03-08 00:00:00
25,0,0,25,2020-03-09 00:00:00
31,0,0,31,2020-03-10 00:00:00
38,0,0,38,2020-03-11 00:00:00
52,0,0,52,2020-03-12 00:00:00
151,0,0,151,2020-03-13 00:00:00
151,0,0,151,2020-03-14 00:00:00
162,0,0,162,2020-03-15 00:00:00
200,0,1,199,2020-03-16 00:00:00
321,1,2,318,2020-03-17 00:00:00
372,3,2,367,2020-03-18 00:00:00
621,6,2,613,2020-03-19 00:00:00
793,11,2,780,2020-03-20 00:00:00
1021,15,2,1004,2020-03-21 00:00:00
1546,25,2,1519,2020-03-22 00:00:00
1924,34,2,1888,2020-03-23 00:00:00
2247,46,2,2199,2020-03-24 00:00:00
2554,59,2,2493,2020-03-25 00:00:00
2985,77,6,2902,2020-03-26 00:00:00
3417,92,6,3319,2020-03-27 00:00:00
3904,111,6,3787,2020-03-28 00:00:00
4256,136,6,4114,2020-03-29 00:00:00
4579,159,120,4300,2020-03-30 00:00:00
5717,201,127,5389,2020-03-31 00:00:00
6836,240,127,6469,2020-04-01 00:00:00
8044,324,127,7593,2020-04-02 00:00:00
9056,359,127,8570,2020-04-03 00:00:00
10360,445,127,9788,2020-04-04 00:00:00
11130,486,127,10517,2020-04-05 00:00:00
12161,564,127,11470,2020-04-06 00:00:00
14034,686,127,13221,2020-04-07 00:00:00
16170,819,127,15224,2020-04-08 00:00:00
18092,950,173,16969,2020-04-09 00:00:00
19638,1057,173,18408,2020-04-10 00:00:00
20727,1124,173,19430,2020-04-11 00:00:00
22192,1223,173,20796,2020-04-12 00:00:00
23430,1328,173,21929,2020-04-13 00:00:00
25262,1532,3046,20684,2020-04-14 00:00:00
28320,1736,14026,12558,2020-04-15 00:00:00
30425,1924,14026,14475,2020-04-16 00:00:00
33682,2141,14026,17515,2020-04-17 00:00:00
36658,2354,14026,20278,2020-04-18 00:00:00
38654,2462,22130,14062,2020-04-19 00:00:00
40743,2587,22130,16026,2020-04-20 00:00:00
43079,2741,22991,17347,2020-04-21 00:00:00
45757,2906,25318,17533,2020-04-22 00:00:00
50036,3331,26573,20132,2020-04-23 00:00:00
54043,3704,27655,22684,2020-04-24 00:00:00
59324,4057,29160,26107,2020-04-25 00:00:00
63100,4286,30152,28662,2020-04-26 00:00:00
67446,4603,31142,31701,2020-04-27 00:00:00
73235,5083,32544,35608,2020-04-28 00:00:00
79685,5513,34132,40040,2020-04-29 00:00:00
87187,6006,35935,45246,2020-04-30 00:00:00
92202,6412,38039,47751,2020-05-01 00:00:00
97100,6761,40937,49402,2020-05-02 00:00:00
101826,7051,42991,51784,2020-05-03 00:00:00
108620,7367,45815,55438,2020-05-04 00:00:00
115455,7938,48221,59296,2020-05-05 00:00:00
126611,8588,51370,66653,2020-05-06 00:00:00
135773,9190,55350,71233,2020-05-07 00:00:00
146894,10017,59297,77580,2020-05-08 00:00:00
156061,10656,61685,83720,2020-05-09 00:00:00
162699,11123,64957,86619,2020-05-10 00:00:00
169594,11653,67384,90557,2020-05-11 00:00:00
178214,12461,72597,93156,2020-05-12 00:00:00
190137,13240,78424,98473,2020-05-13 00:00:00
